,price,log_price
3486,200.0,5.298317366548036
3487,65.0,4.174387269895637
3488,80.0,4.382026634673881
3489,1500.0,7.313220387090301
3490,400.0,5.991464547107982
3491,450.0,6.1092475827643655
3492,205.0,5.3230099791384085
3493,102.0,4.624972813284271
3494,90.0,4.499809670330265
3495,55.0,4.007333185232471
3496,110.0,4.700480365792417
3497,61.0,4.110873864173311
3498,106.0,4.663439094112067
3499,67.0,4.204692619390966
3500,154.0,5.0369526024136295
3501,69.0,4.23410650459726
3502,100.0,4.605170185988092
3503,150.0,5.0106352940962555
3504,219.0,5.389071729816501
3505,170.0,5.135798437050262
3506,250.0,5.521460917862246
3507,250.0,5.521460917862246
3508,70.0,4.248495242049359
3509,150.0,5.0106352940962555
3510,214.0,5.365976015021851
3511,272.0,5.605802066295998
3512,450.0,6.1092475827643655
3513,95.0,4.553876891600541
3514,199.0,5.293304824724492
3515,130.0,4.867534450455582
3516,100.0,4.605170185988092
3517,350.0,5.857933154483459
3518,125.0,4.8283137373023015
3519,72.0,4.276666119016055
3520,45.0,3.8066624897703196
3521,95.0,4.553876891600541
3522,100.0,4.605170185988092
3523,250.0,5.521460917862246
3524,171.0,5.14166355650266
3525,500.0,6.214608098422191
3526,89.0,4.48863636973214
3527,125.0,4.8283137373023015
3528,89.0,4.48863636973214
3529,250.0,5.521460917862246
3530,162.0,5.087596335232384
3531,400.0,5.991464547107982
3532,150.0,5.0106352940962555
3533,44.0,3.784189633918261
3534,55.0,4.007333185232471
3535,100.0,4.605170185988092
3536,49.0,3.8918202981106265
3537,99.0,4.59511985013459
3538,139.0,4.9344739331306915
3539,105.0,4.653960350157523
3540,140.0,4.941642422609304
3541,314.0,5.749392985908253
3542,175.0,5.1647859739235145
3543,200.0,5.298317366548036
3544,79.0,4.3694478524670215
3545,50.0,3.912023005428146
3546,45.0,3.8066624897703196
3547,85.0,4.442651256490317
3548,199.0,5.293304824724492
3549,703.0,6.555356891810665
3550,44.0,3.784189633918261
3551,230.0,5.438079308923196
3552,160.0,5.075173815233827
3553,857.0,6.75343791859778
3554,98.0,4.584967478670572
3555,68.0,4.219507705176107
3556,171.0,5.14166355650266
3557,79.0,4.3694478524670215
3558,55.0,4.007333185232471
3559,275.0,5.616771097666572
3560,60.0,4.0943445622221
3561,195.0,5.272999558563747
3562,150.0,5.0106352940962555
3563,99.0,4.59511985013459
3564,140.0,4.941642422609304
3565,100.0,4.605170185988092
3566,125.0,4.8283137373023015
3567,39.0,3.6635616461296463
3568,80.0,4.382026634673881
3569,600.0,6.396929655216146
3570,140.0,4.941642422609304
3571,110.0,4.700480365792417
3572,56.0,4.02535169073515
3573,120.0,4.787491742782046
3574,150.0,5.0106352940962555
3575,145.0,4.976733742420574
3576,65.0,4.174387269895637
